"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.focus-on-english.com/blog/gramatica/voz-pasiva-ingles-guia","747","21","2.81%","5.078992101740294"
"https://www.focus-on-english.com/blog/examenes/precios-examenes-cambridge","579","22","3.8000000000000003%","4.483596373056995"
"https://www.focus-on-english.com/blog/gramatica/reported-speech-ejercicios-pdf","569","50","8.790000000000001%","4.390140597539543"
"https://www.focus-on-english.com/blog/metodos/vocabulario-ropa-ingles","533","7","1.31%","6.332080300187617"
"https://www.focus-on-english.com/blog/metodos/ingles-c1","425","6","1.41%","4.3647112941176465"
"https://www.focus-on-english.com/blog/temas/reported-speech","345","3","0.87%","5.86955652173913"
"https://www.focus-on-english.com/blog/gramatica/ejercicios-voz-pasiva-ingles","327","25","7.65%","5.045862996941896"
"https://www.focus-on-english.com/blog/metodos/niveles-ingles-mcer-guia-completa","304","24","7.890000000000001%","3.782906907894737"
"https://www.focus-on-english.com/blog/metodos/cuanto-se-tarda-en-aprender-ingles","283","11","3.89%","3.3533554770318017"
"https://www.focus-on-english.com/blog/gramatica/guia-maestra-reported-speech","270","5","1.85%","4.622210000000001"
"https://www.focus-on-english.com/blog/gramatica/verbos-modales-ingles-ejercicios","267","24","8.99%","5.220961048689139"
"https://www.focus-on-english.com/blog/gramatica/past-simple-vs-past-continuous","255","9","3.5300000000000002%","4.545107843137255"
"https://www.focus-on-english.com/blog/metodos/que-significa-tbt-slang-ingles","242","2","0.8300000000000001%","6.702459917355372"
"https://www.focus-on-english.com/blog/gramatica/ejercicios-condicionales-ingles-b1-b2","210","16","7.62%","4.457142857142857"
"https://www.focus-on-english.com/hubs/phrasal-verbs","204","5","2.45%","5.78430931372549"
"https://www.focus-on-english.com/blog/gramatica/gramatica-ingles-b1-guia","186","15","8.06%","4.935484946236559"
"https://www.focus-on-english.com/blog/gramatica/first-conditional-ingles","183","2","1.09%","5.213132786885246"
"https://www.focus-on-english.com/blog/gramatica/present-perfect-ever-never","183","6","3.2800000000000002%","4.147539344262295"
"https://www.focus-on-english.com/blog/gramatica/verbos-modales-ingles-guia","182","2","1.1%","5.6593263736263735"
"https://www.focus-on-english.com/hubs/reported-speech","175","3","1.71%","5.8400165714285714"
"https://www.focus-on-english.com/blog/metodos/anki-para-aprender-ingles-guia","173","10","5.78%","4.618523121387283"
"https://www.focus-on-english.com/blog/gramatica/relative-clauses-guia-definitiva","159","2","1.26%","4.74842641509434"
"https://www.focus-on-english.com/blog/metodos/reglas-pronunciacion-ingles","151","17","11.26%","3.6754913907284767"
"https://www.focus-on-english.com/blog/gramatica/present-perfect-just-already-yet","149","8","5.37%","4.154352348993289"
"https://www.focus-on-english.com/blog/gramatica/will-would-diferencia","146","5","3.42%","3.520559589041096"
"https://www.focus-on-english.com/blog/metodos/ingles-a1-vs-a2","146","8","5.48%","4.712336986301368"
"https://www.focus-on-english.com/blog/metodos/mejores-libros-aprender-ingles","145","5","3.45%","5.158614482758621"
"https://www.focus-on-english.com/blog/metodos/mejores-apps-ingles-gratis","136","9","6.62%","4.2794058823529415"
"https://www.focus-on-english.com/blog/examenes/aptis-general-guia-completa","131","8","6.11%","4.564894656488549"
"https://www.focus-on-english.com/blog/gramatica/reporting-verbs-patterns-list","131","9","6.87%","4.7175442748091605"
"https://www.focus-on-english.com/blog/gramatica/silabas-ingles-division","125","4","3.2%","3.0400024"
"https://www.focus-on-english.com/blog/gramatica/may-might-ingles","119","3","2.52%","6.025211764705882"
"https://www.focus-on-english.com/blog/gramatica/will-going-to-diferencia","118","3","2.54%","5.694921186440679"
"https://www.focus-on-english.com/blog/trabajo/ingles-para-atencion-al-cliente","116","0","0%","5.129306896551724"
"https://www.focus-on-english.com/blog/gramatica/past-simple-verbos-irregulares","109","0","0%","5.779842201834862"
"https://www.focus-on-english.com/blog/gramatica/wont-ingles-usos","108","5","4.63%","3.212972222222222"
"https://www.focus-on-english.com/blog/gramatica/can-could-ingles","105","0","0%","5.666677142857142"
"https://www.focus-on-english.com/blog/metodos/vocabulario-ingles-redes-sociales","102","1","0.98%","4.568619607843137"
"https://www.focus-on-english.com/blog/metodos/ingles-c2","97","4","4.12%","5.298953608247423"
"https://www.focus-on-english.com/blog/viajes/ingles-para-recepcionistas-guia","93","6","6.45%","4.053766666666666"
"https://www.focus-on-english.com/blog/gramatica/zero-conditional-ingles","90","0","0%","4.933328888888889"
"https://www.focus-on-english.com/blog/gramatica/phrasal-verbs-guia-b2","75","5","6.67%","6.453318666666667"
